lat_cell,lon_cell,biome_name,n_recordings,n_biomes_in_cell
-41.5,-73.0,Temperate Broadleaf & Mixed Forests,18,1
-41.5,-72.9,Temperate Broadleaf & Mixed Forests,28,1
-41.5,-72.7,Temperate Broadleaf & Mixed Forests,7,1
-41.5,-72.4,Temperate Broadleaf & Mixed Forests,2,1
-41.5,-72.2,Temperate Broadleaf & Mixed Forests,2,1
-41.5,145.9,Temperate Broadleaf & Mixed Forests,25,1
-41.5,146.0,Temperate Broadleaf & Mixed Forests,2,1
-41.5,146.1,Temperate Broadleaf & Mixed Forests,9,1
-41.5,146.2,Temperate Broadleaf & Mixed Forests,5,1
-41.5,146.4,Temperate Broadleaf & Mixed Forests,9,1
-41.5,147.0,Temperate Broadleaf & Mixed Forests,4,1
-41.5,147.1,Temperate Broadleaf & Mixed Forests,6,1
-41.4,-73.5,Temperate Broadleaf & Mixed Forests,3,1
-41.4,-73.1,Temperate Broadleaf & Mixed Forests,1,1
-41.4,-73.0,Temperate Broadleaf & Mixed Forests,5,1
-41.4,-72.9,Temperate Broadleaf & Mixed Forests,1,1
-41.4,146.0,Temperate Broadleaf & Mixed Forests,19,1
-41.4,146.3,Temperate Broadleaf & Mixed Forests,30,1
-41.4,147.0,Temperate Broadleaf & Mixed Forests,3,1
-41.4,148.2,Temperate Broadleaf & Mixed Forests,4,1
-41.4,173.3,Temperate Broadleaf & Mixed Forests,4,1
-41.4,173.5,Temperate Broadleaf & Mixed Forests,1,1
-41.4,174.0,Temperate Broadleaf & Mixed Forests,1,1
-41.4,174.7,Temperate Broadleaf & Mixed Forests,1,1
-41.4,174.8,Temperate Broadleaf & Mixed Forests,5,1
-41.3,-73.9,Temperate Broadleaf & Mixed Forests,2,1
-41.3,-72.7,Temperate Broadleaf & Mixed Forests,2,1
-41.3,-71.5,Temperate Broadleaf & Mixed Forests,1,1
-41.3,-71.3,Temperate Broadleaf & Mixed Forests,18,1
-41.3,146.3,Temperate Broadleaf & Mixed Forests,68,1
-41.3,146.4,Temperate Broadleaf & Mixed Forests,51,1
-41.3,148.1,Temperate Broadleaf & Mixed Forests,1,1
-41.3,148.3,Temperate Broadleaf & Mixed Forests,2,1
-41.3,174.0,Temperate Broadleaf & Mixed Forests,1,1
-41.3,174.7,Temperate Broadleaf & Mixed Forests,22,1
-41.3,174.8,Temperate Broadleaf & Mixed Forests,1,1
-41.3,175.2,Temperate Broadleaf & Mixed Forests,1,1
-41.2,-72.6,Temperate Broadleaf & Mixed Forests,13,1
-41.2,-72.5,Temperate Broadleaf & Mixed Forests,8,1
-41.2,-71.5,Temperate Broadleaf & Mixed Forests,9,1
-41.2,-71.4,Temperate Broadleaf & Mixed Forests,4,1
-41.2,146.0,Temperate Broadleaf & Mixed Forests,11,1
-41.2,146.2,Temperate Broadleaf & Mixed Forests,17,1
-41.2,146.3,Temperate Broadleaf & Mixed Forests,13,1
-41.2,146.4,Temperate Broadleaf & Mixed Forests,7,1
-41.2,146.6,Temperate Broadleaf & Mixed Forests,70,1
-41.2,147.5,Temperate Broadleaf & Mixed Forests,2,1
-41.2,172.1,Temperate Broadleaf & Mixed Forests,1,1
-41.2,172.2,Temperate Broadleaf & Mixed Forests,3,1
-41.2,172.6,Temperate Broadleaf & Mixed Forests,2,1
-41.2,174.2,Temperate Broadleaf & Mixed Forests,5,1
-41.1,-71.6,Temperate Broadleaf & Mixed Forests,1,1
-41.1,-71.5,Temperate Broadleaf & Mixed Forests,14,1
-41.1,-71.2,"Temperate Grasslands, Savannas & Shrublands",9,1
-41.1,148.2,Temperate Broadleaf & Mixed Forests,69,1
-41.1,172.9,Temperate Broadleaf & Mixed Forests,2,1
-41.1,173.8,Temperate Broadleaf & Mixed Forests,13,1
-41.1,173.9,Temperate Broadleaf & Mixed Forests,18,1
-41.1,174.2,Temperate Broadleaf & Mixed Forests,8,1
-41.0,145.7,Temperate Broadleaf & Mixed Forests,1,1
-41.0,172.4,Temperate Broadleaf & Mixed Forests,1,1
-41.0,172.9,Temperate Broadleaf & Mixed Forests,1,1
-41.0,173.0,Temperate Broadleaf & Mixed Forests,3,1
-41.0,174.0,Temperate Broadleaf & Mixed Forests,1,1
-40.9,-63.0,"Temperate Grasslands, Savannas & Shrublands",1,1
-40.9,147.6,Temperate Broadleaf & Mixed Forests,22,1
-40.9,148.0,Temperate Broadleaf & Mixed Forests,3,1
-40.9,172.7,Temperate Broadleaf & Mixed Forests,3,1
-40.9,172.8,Temperate Broadleaf & Mixed Forests,7,1
-40.9,172.9,Temperate Broadleaf & Mixed Forests,3,1
-40.9,174.9,Temperate Broadleaf & Mixed Forests,9,1
-40.9,175.0,Temperate Broadleaf & Mixed Forests,3,1
-40.9,175.5,Temperate Broadleaf & Mixed Forests,2,1
-40.8,-72.4,Temperate Broadleaf & Mixed Forests,46,1
-40.8,-72.3,Temperate Broadleaf & Mixed Forests,61,1
-40.8,-72.0,Temperate Broadleaf & Mixed Forests,3,1
-40.8,-71.7,Temperate Broadleaf & Mixed Forests,1,1
-40.8,147.9,Temperate Broadleaf & Mixed Forests,3,1
-40.8,148.0,Temperate Broadleaf & Mixed Forests,2,1
-40.8,172.6,Temperate Broadleaf & Mixed Forests,1,1
-40.8,175.6,Temperate Broadleaf & Mixed Forests,9,1
-40.7,-73.2,Temperate Broadleaf & Mixed Forests,1,1
-40.7,-72.2,Temperate Broadleaf & Mixed Forests,1,1
-40.7,-71.4,Temperate Broadleaf & Mixed Forests,3,1
-40.7,-71.3,Temperate Broadleaf & Mixed Forests,1,1
-40.6,-73.2,Temperate Broadleaf & Mixed Forests,2,1
-40.5,-71.7,Temperate Broadleaf & Mixed Forests,7,1
-40.5,-71.6,Temperate Broadleaf & Mixed Forests,1,1
-40.4,-9.9,"Temperate Grasslands, Savannas & Shrublands",1,1
-40.3,147.9,Temperate Broadleaf & Mixed Forests,10,1
-40.2,-73.7,Temperate Broadleaf & Mixed Forests,1,1
-40.2,-71.4,Temperate Broadleaf & Mixed Forests,12,1
-40.0,-73.6,Temperate Broadleaf & Mixed Forests,1,1
-39.9,-73.4,Temperate Broadleaf & Mixed Forests,65,1
-39.9,-73.3,Temperate Broadleaf & Mixed Forests,43,1
-39.8,-73.4,Temperate Broadleaf & Mixed Forests,29,1
-39.8,-73.3,Temperate Broadleaf & Mixed Forests,13,1
-39.8,-71.5,Temperate Broadleaf & Mixed Forests,2,1
-39.7,-73.4,Temperate Broadleaf & Mixed Forests,3,1
-39.7,-73.2,Temperate Broadleaf & Mixed Forests,1,1
-39.7,-62.5,"Temperate Grasslands, Savannas & Shrublands",12,1
-39.7,176.5,Temperate Broadleaf & Mixed Forests,1,1
-39.6,-72.1,Temperate Broadleaf & Mixed Forests,10,1
-39.6,-71.5,Temperate Broadleaf & Mixed Forests,1,1
-39.6,-69.3,"Temperate Grasslands, Savannas & Shrublands",2,1
-39.6,-62.5,"Temperate Grasslands, Savannas & Shrublands",219,1
