lat,lon,first_year,last_year,first_richness,last_richness,delta,direction
-6.35,155.55,2024,2025,7.95,14.45,6.49,up
4.95,117.85,2023,2025,10.09,8.19,-1.9,down
6.35,100.95,2023,2025,13.39,8.0,-5.39,down
11.95,108.35,2024,2025,12.47,15.72,3.25,up
21.95,101.25,2023,2025,7.93,11.11,3.18,up
18.15,104.45,2023,2024,13.1,12.5,-0.6,down
17.45,53.35,2023,2025,7.91,6.79,-1.12,down
20.65,102.15,2023,2024,14.7,16.91,2.21,up
47.85,106.65,2023,2025,10.99,14.55,3.56,up
31.55,121.95,2023,2024,9.2,7.69,-1.51,down
30.45,120.95,2024,2025,8.29,7.07,-1.22,down
11.85,108.45,2024,2025,5.7,9.55,3.85,up
24.45,97.55,2024,2025,12.88,9.07,-3.81,down
24.25,121.05,2023,2025,8.11,11.52,3.4,up
19.85,100.45,2023,2024,11.85,8.61,-3.23,down
31.55,120.15,2023,2024,8.35,5.78,-2.57,down
43.05,76.95,2023,2025,9.76,8.1,-1.67,down
30.85,102.95,2024,2025,9.29,10.05,0.76,up
1.35,124.85,2023,2024,8.0,9.56,1.56,up
12.85,99.55,2023,2025,10.85,8.6,-2.25,down
12.75,99.45,2023,2025,8.33,8.27,-0.06,flat
18.05,102.35,2023,2024,10.44,11.59,1.15,up
13.75,100.85,2023,2025,9.27,9.07,-0.2,flat
13.85,100.45,2024,2025,13.49,8.12,-5.37,down
1.45,103.75,2023,2025,12.75,10.87,-1.87,down
17.95,102.65,2023,2024,14.05,15.06,1.02,up
14.05,100.65,2024,2025,10.3,9.78,-0.52,down
17.85,102.65,2023,2024,14.63,16.15,1.51,up
13.85,100.55,2023,2025,10.66,9.04,-1.62,down
13.95,100.45,2023,2024,10.22,9.6,-0.62,down
39.95,115.45,2023,2024,11.7,7.21,-4.5,down
40.05,115.55,2023,2024,11.87,10.42,-1.45,down
1.85,103.95,2023,2025,15.14,9.89,-5.25,down
8.75,99.65,2023,2025,9.57,8.88,-0.69,down
4.35,102.45,2023,2025,13.56,9.95,-3.61,down
4.65,102.05,2023,2025,25.35,10.01,-15.34,down
12.85,99.35,2024,2025,8.74,11.55,2.82,up
5.65,116.45,2024,2025,8.7,8.9,0.21,flat
29.45,79.35,2023,2025,5.64,7.37,1.73,up
19.85,100.35,2023,2024,8.57,7.53,-1.04,down
43.05,141.65,2023,2024,10.73,16.18,5.45,up
18.25,102.15,2023,2024,16.0,17.64,1.64,up
20.15,100.55,2023,2024,10.33,9.6,-0.74,down
31.75,102.25,2024,2025,8.86,8.12,-0.73,down
26.45,117.55,2023,2024,8.76,11.24,2.48,up
-2.55,140.05,2024,2025,7.59,8.88,1.28,up
44.35,75.45,2023,2025,6.18,4.93,-1.25,down
17.05,54.15,2023,2025,10.5,9.3,-1.2,down
-9.45,147.35,2024,2025,9.02,8.83,-0.19,flat
3.65,101.75,2023,2024,9.57,9.71,0.14,flat
30.95,121.95,2023,2025,10.15,7.24,-2.91,down
1.25,103.85,2023,2025,8.73,10.19,1.46,up
1.55,125.15,2023,2024,7.9,11.13,3.23,up
17.95,102.75,2023,2024,12.4,17.22,4.82,up
13.55,100.65,2024,2025,11.52,12.15,0.62,up
13.75,100.35,2024,2025,9.0,7.88,-1.11,down
40.05,116.35,2023,2024,14.42,13.71,-0.71,down
3.45,101.75,2023,2024,8.5,7.86,-0.64,down
13.75,100.05,2024,2025,11.96,9.2,-2.76,down
30.95,121.35,2023,2024,6.65,8.34,1.69,up
1.35,103.75,2023,2025,11.36,10.51,-0.85,down
1.45,103.95,2023,2025,8.8,9.0,0.2,flat
-6.75,106.95,2023,2024,8.85,10.19,1.34,up
-5.95,144.25,2024,2025,5.25,6.65,1.4,up
30.25,120.05,2024,2025,9.59,9.89,0.3,flat
27.15,77.55,2023,2025,13.43,8.33,-5.09,down
13.45,100.35,2024,2025,7.69,6.98,-0.71,down
13.45,100.95,2024,2025,8.08,10.03,1.96,up
13.85,100.85,2024,2025,11.29,9.58,-1.71,down
17.05,54.45,2024,2025,4.46,2.91,-1.55,down
17.15,54.25,2023,2025,7.73,7.19,-0.54,down
17.05,54.35,2023,2024,6.0,7.73,1.73,up
3.45,101.25,2024,2025,7.41,2.0,-5.41,down
25.35,98.75,2023,2025,8.78,9.72,0.95,up
8.25,126.15,2024,2025,8.87,13.99,5.11,up
31.05,121.45,2024,2025,7.74,4.25,-3.49,down
28.75,116.35,2023,2025,6.73,3.9,-2.82,down
31.95,114.25,2024,2025,6.0,8.2,2.2,up
14.45,101.35,2023,2024,7.93,8.93,1.0,up
50.75,69.95,2023,2025,8.08,6.41,-1.67,down
3.25,101.85,2024,2025,5.73,5.47,-0.26,flat
27.05,117.05,2023,2025,13.69,8.38,-5.32,down
26.65,77.95,2024,2025,3.53,5.0,1.47,up
17.15,54.55,2023,2024,8.14,6.5,-1.64,down
-1.05,133.95,2024,2025,6.0,8.8,2.8,up
-12.35,130.95,2023,2024,20.45,25.55,5.09,up
-44.05,-176.65,2023,2025,11.53,6.3,-5.23,down
-35.25,149.05,2024,2025,19.45,21.73,2.27,up
-35.15,149.15,2024,2025,12.0,9.8,-2.2,down
-12.35,130.85,2023,2024,18.12,8.17,-9.95,down
56.15,47.35,2023,2025,12.82,14.32,1.5,up
56.05,47.25,2023,2025,10.7,8.23,-2.47,down
