year,urban_class,n_recordings,Acoustic_Complexity_Index__main_value__mean,Acoustic_Complexity_Index__main_value__median,Bio_acoustic_Index__main_value__mean,Bio_acoustic_Index__main_value__median,Acoustic_Diversity_Index__main_value__mean,Acoustic_Diversity_Index__main_value__median,Acoustic_Evenness_Index__main_value__mean,Acoustic_Evenness_Index__main_value__median,Normalized_Difference_Sound_Index__main_value__mean,Normalized_Difference_Sound_Index__main_value__median,Spectral_Entropy__main_value__mean,Spectral_Entropy__main_value__median,Temporal_Entropy__main_value__mean,Temporal_Entropy__main_value__median,NB_peaks__main_value__mean,NB_peaks__main_value__median,Wave_SNR__SNR__mean,Wave_SNR__SNR__median,Spectral_centroid__mean__mean,Spectral_centroid__mean__median,ZCR__mean__mean,ZCR__mean__median,RMS_energy__mean__mean,RMS_energy__mean__median
2018,rural,46202,2533.255799308379,1139.8464167431923,10.759942545252871,9.283969126505703,1.8253253414644495,1.9344426967205006,0.29119975185337704,0.27155566685178595,0.6187859284098415,0.8870229971606327,0.826812576745728,0.8349631501345498,0.9498388421775543,0.9580009985082156,3.7919561876312313,3.0,38.19433664004681,40.70651310902244,5272.554084228706,5054.311694582558,0.18073669171514795,0.1709947157971731,0.019194515810990485,0.0130311640203987
2018,town,800,1411.7417675596766,688.9273216060808,12.849536843124048,9.130581859131475,1.7983067101411108,1.9517365605729704,0.27808999082428676,0.2540193506008514,0.4880540203855743,0.7475881729576757,0.813261205826446,0.8217986244380454,0.9561716440431541,0.9690900847775958,4.1725,3.0,35.72999230485244,38.36275691853059,4944.999308294991,4724.865496559489,0.1687759112611133,0.15423173802731482,0.020890636936041967,0.0131798964914773
2019,city,6114,1339.3880474937523,671.6497543934485,9.957186296856568,7.979174463542567,1.8781400838929356,1.9946042847512506,0.24760540307664303,0.20784873447360042,0.3742457463743519,0.6116251607091008,0.8318221913637457,0.8349349772488102,0.9599743029636424,0.9716992625882768,4.014066077854105,3.0,33.14380305624991,34.18186010750951,4992.060422121032,4585.6207058145865,0.17128366873617562,0.14779403624746962,0.017742738921171335,0.01084639335957105
2019,rural,56302,2210.396614194227,1125.7685093526784,10.92042303952494,9.303092430838726,1.795512761357874,1.9241603238813052,0.29402240808616137,0.2779893051037524,0.622608922227458,0.8939144627844373,0.8240514661024088,0.8318568921375997,0.9490633171379185,0.9570722751834929,3.7922507061770507,3.0,38.398234559549955,40.86895616285481,5248.626518122755,5084.66209794022,0.1762382884331751,0.16868991662513794,0.019484787322245435,0.01321669383880695
2019,town,1298,1023.430510944861,610.420144237337,11.235958561231097,8.662904168854986,1.9008996547113026,2.014800054406745,0.22805592765292065,0.17479401135372094,0.45633721259617466,0.7354247098146438,0.8265474811059332,0.8333882859171486,0.96030873447166,0.9682078983316846,4.2642526964560865,4.0,30.2977431879832,29.35201260267015,4823.3281387028255,4518.708773274441,0.16401835122884315,0.1528802839340193,0.01916460127997593,0.01180351561809435
2020,city,12037,1407.0470246645837,614.8701128896653,8.324220303127927,6.581987979320844,1.8721545244053384,2.0163168840483108,0.23211731678710176,0.1733515878694476,0.31225367783744823,0.49257181725231913,0.8288540363874868,0.835285863167552,0.9653362995387021,0.976687522964306,3.734313969916064,3.0,27.20153024823233,25.89291847481685,5083.604924584035,4670.600821305743,0.160109834865635,0.1371635109009087,0.01448073499739113,0.00824398945595795
2020,rural,64085,2206.729139451811,1009.4269593758738,10.23851763819284,9.07565501386749,1.820692045553009,1.9380904053272072,0.2821968732494278,0.267015777529628,0.619164817095633,0.8850720843676523,0.8294053614353768,0.8368016103283794,0.9489438867028247,0.9570461170242648,3.9112606143856143,3.0,36.07161253305203,37.91090772493091,5380.98328866974,5136.711609106149,0.18021943693539474,0.1671273858766072,0.015338969483939433,0.0094429104004435
2020,town,2370,929.8084171113587,456.69150813372016,8.314315329077667,5.621337752318526,1.938098356758823,2.064179361962086,0.18481623377060516,0.0896436115341161,0.2897461011876087,0.42789434971623536,0.8536419960953873,0.8617361628064627,0.9687026665697817,0.982136547707942,4.172151898734177,3.0,22.62134209286633,18.32920377091309,5467.533917222045,5122.091308154088,0.17608188459226654,0.15430069709776106,0.010440815345427663,0.0057406344374436
2021,city,9067,1383.2470876989319,641.9460775193083,9.211124529771038,7.446821827205711,1.8844251627168922,2.001242175306891,0.2455531344837259,0.20189880427507145,0.38501412013231956,0.5973307255112466,0.8321125408568216,0.8392753174723033,0.9623468428334375,0.9737279135242192,4.1412971542025145,3.0,28.46642021254021,27.57977084177348,5147.287144792232,4737.64409559308,0.1675741141736012,0.1442076553254437,0.014273380123436328,0.0082123322678765
2021,rural,71721,1950.3476383387995,920.5848686513602,10.45794854721762,8.862404278320987,1.7939806611655664,1.95114797077048,0.2664562815590143,0.2462299252918696,0.6014181522574377,0.8616117642748685,0.840643982568619,0.845153818024372,0.9519821875437818,0.9609090908354017,3.8518616650397433,3.0,33.457040202911394,34.21215023360156,5461.201773766866,5282.7049829791085,0.18805419501288784,0.1707858269286543,0.014034421498417514,0.00821340771022055
2021,town,2521,1262.0577522322633,616.0821243617208,14.431470179140213,6.920292651263617,1.9183472418523058,2.042762970150153,0.20070195430546475,0.1337722896838418,0.26015930783154406,0.3448046780069045,0.8451285600510522,0.8547320409224571,0.9677026208485993,0.9781902639581361,3.907973026576755,3.0,25.756166342357577,24.42093369328027,4786.935999407822,4439.7102199535475,0.16505585765652453,0.1530644217914438,0.011026760152748609,0.004629801759822
2022,city,8017,1309.2033866976,638.7815915359272,9.236409220768188,7.468792631482506,1.8982341970447132,2.01514331249939,0.23332621989269453,0.18516681358796688,0.3994879027504537,0.6087893252981145,0.8413952461406493,0.8443139125289062,0.9613566149002531,0.9727189819938133,4.096556886227545,3.0,28.804339444506276,28.730994597984846,5136.224091696685,4815.400511221739,0.17697117115490815,0.1495002556854786,0.01417690939663604,0.0080809578988677
2022,rural,72418,2116.562496974928,874.5259456491196,10.052255388882868,8.771187701847023,1.8276488761407679,1.9687295263811824,0.26020281209589324,0.2333429962974802,0.6181226700962711,0.8702238212488937,0.8435191332789476,0.8474957670161716,0.9530894346769218,0.9619679387412036,4.066615102001354,3.0,32.64971273986368,32.83016070969016,5567.331629205821,5330.215678990874,0.19709686191017098,0.1747863766580064,0.01344802065832381,0.0078047707512681
2022,town,2711,1304.3732773120125,615.1391059007212,8.38700030546335,6.849115705958328,1.9227319281762574,2.045580964770387,0.20005775142236004,0.13312884755117743,0.3377405759055419,0.46850012035813954,0.8371441884458919,0.842314329872569,0.9691028966093861,0.978520176526259,3.8432312799704906,3.0,25.89582776839731,23.620135571594215,4773.5938148558735,4438.938373715975,0.15794231287542038,0.1376572572885596,0.011771111768156126,0.0065781210301924
