lat,lon,continent,n_rec,richness,label,label_code
37.15,-6.35,europe,210,19.513,good,2
40.85,-6.85,europe,58,21.094,good,2
38.25,-7.45,europe,14,8.297,bad,0
40.05,9.25,europe,15,9.143,moderate,1
38.85,-7.45,europe,44,8.1,bad,0
51.95,-3.85,europe,25,10.0,moderate,1
45.85,5.05,europe,12,11.455,moderate,1
39.45,-7.55,europe,17,5.541,bad,0
49.35,8.65,europe,103,1.291,bad,0
40.55,9.45,europe,23,6.959,bad,0
64.65,-22.15,europe,35,7.347,bad,0
51.75,-8.15,europe,43,16.656,good,2
65.65,-14.25,europe,80,3.379,bad,0
65.35,-15.85,europe,69,4.099,bad,0
51.15,-0.55,europe,74,11.749,moderate,1
55.15,14.85,europe,18,7.206,bad,0
55.05,14.95,europe,11,6.545,bad,0
48.25,4.05,europe,20,10.026,moderate,1
54.45,-6.35,europe,33,14.321,good,2
49.45,20.45,europe,51,14.165,good,2
37.95,-2.85,europe,57,15.091,good,2
42.75,19.95,europe,17,10.89,moderate,1
46.15,5.65,europe,22,9.215,moderate,1
38.35,-2.55,europe,52,4.665,bad,0
55.85,-6.45,europe,49,15.688,good,2
39.45,3.25,europe,11,7.727,bad,0
54.55,8.85,europe,21,6.862,bad,0
53.15,-0.55,europe,16,4.625,bad,0
49.45,21.95,europe,43,13.967,good,2
49.05,22.75,europe,13,10.038,moderate,1
57.75,26.55,europe,10,14.0,good,2
57.55,18.45,europe,11,4.818,bad,0
49.45,21.85,europe,35,11.06,moderate,1
60.85,11.15,europe,14,21.154,good,2
34.85,32.85,europe,20,8.605,moderate,1
38.45,-8.65,europe,16,7.054,bad,0
42.95,2.75,europe,14,13.856,good,2
63.55,20.75,europe,116,13.777,good,2
47.75,8.55,europe,15,16.172,good,2
44.75,3.65,europe,15,10.476,moderate,1
52.45,5.55,europe,19,8.073,bad,0
60.05,59.65,europe,18,12.43,moderate,1
57.45,47.25,europe,13,8.339,bad,0
56.15,-5.45,europe,20,5.615,bad,0
48.35,4.55,europe,69,6.299,bad,0
48.25,-3.55,europe,47,13.806,good,2
74.45,-20.55,europe,11,7.455,moderate,1
56.15,46.15,europe,15,6.971,bad,0
60.15,58.75,europe,13,13.028,good,2
38.85,-9.45,europe,17,10.265,moderate,1
53.75,-1.45,europe,10,12.0,moderate,1
51.45,-0.65,europe,22,10.473,moderate,1
51.75,3.85,europe,11,11.091,moderate,1
56.05,-5.55,europe,12,7.455,bad,0
40.85,-3.85,europe,30,6.514,bad,0
49.65,-1.45,europe,97,12.174,moderate,1
45.95,5.35,europe,19,8.584,moderate,1
44.15,2.25,europe,13,8.269,bad,0
61.05,25.05,europe,113,13.206,good,2
53.15,-2.35,europe,57,4.834,bad,0
50.25,9.55,europe,10,16.0,good,2
64.15,20.65,europe,28,8.288,bad,0
49.45,22.05,europe,29,13.716,good,2
48.55,35.05,europe,12,11.455,moderate,1
37.85,-5.15,europe,10,20.0,good,2
38.45,-8.95,europe,17,7.063,bad,0
49.35,22.05,europe,12,11.636,moderate,1
37.25,-8.75,europe,12,11.318,moderate,1
38.75,0.15,europe,18,5.412,bad,0
54.35,22.55,europe,83,12.149,moderate,1
57.85,26.95,europe,11,16.182,good,2
44.95,34.15,europe,57,6.421,bad,0
65.15,-14.65,europe,19,6.435,bad,0
52.05,27.75,europe,42,12.02,moderate,1
65.55,-19.45,europe,15,6.67,bad,0
50.55,1.55,europe,10,6.0,bad,0
55.75,-6.45,europe,60,9.719,moderate,1
55.55,37.65,europe,22,12.377,moderate,1
53.25,-1.05,europe,10,12.0,moderate,1
51.35,0.35,europe,25,8.282,bad,0
48.35,19.65,europe,24,21.412,good,2
52.15,-2.35,europe,16,23.339,good,2
51.45,4.35,europe,21,9.48,moderate,1
65.55,-24.45,europe,38,3.619,bad,0
65.55,-17.15,europe,11,1.909,bad,0
64.05,-16.15,europe,19,1.999,bad,0
52.95,-0.95,europe,19,3.492,bad,0
65.55,19.05,europe,12,1.833,bad,0
44.65,2.95,europe,31,2.839,bad,0
45.75,5.05,europe,15,10.689,moderate,1
48.65,8.25,europe,32,7.068,bad,0
54.75,17.75,europe,11,2.909,bad,0
54.05,14.75,europe,10,9.0,bad,0
64.25,-15.45,europe,24,3.831,bad,0
52.45,20.45,europe,27,11.47,moderate,1
65.55,-13.75,europe,17,1.949,bad,0
53.35,5.35,europe,10,8.0,bad,0
42.35,-7.15,europe,14,1.0,bad,0
56.45,10.95,europe,12,8.5,bad,0
39.85,21.15,europe,56,2.341,bad,0
47.45,9.55,europe,82,16.745,good,2
52.15,19.95,europe,32,5.325,bad,0
60.25,18.45,europe,11,14.091,good,2
52.25,-2.45,europe,17,8.037,bad,0
51.75,11.25,europe,133,1.0,bad,0
45.25,1.25,europe,10,4.0,bad,0
