lat_cell,lon_cell,continent,year,n_rec,S_obs,S_rare10
-37.9,145.2,australia,2023,4,3,
-38.7,143.1,australia,2023,2,2,
-17.9,146.0,australia,2023,2,2,
-17.0,145.7,australia,2025,1,1,
-27.6,152.3,australia,2023,1,1,
-34.8,150.7,australia,2023,2,6,
-35.6,149.0,australia,2025,3,8,
-36.3,143.5,australia,2025,2,4,
-17.5,145.9,australia,2023,3,1,
-34.3,118.6,australia,2025,1,1,
-36.5,141.6,australia,2024,7,4,
-29.2,137.3,australia,2025,3,4,
-36.4,143.6,australia,2025,1,1,
-14.7,131.9,australia,2023,1,5,
-37.7,144.8,australia,2023,5,10,
-35.3,136.8,australia,2023,1,1,
-33.5,139.0,australia,2024,7,5,
-31.7,138.6,australia,2023,21,7,5.26
-43.0,147.2,australia,2023,11,9,8.455
-36.2,144.2,australia,2025,5,10,
-17.6,-149.9,australia,2024,1,1,
-21.7,165.7,australia,2024,4,3,
-10.8,165.7,australia,2023,8,6,
-15.7,130.4,australia,2023,4,5,
-24.3,128.5,australia,2024,2,1,
-19.0,178.2,australia,2024,5,3,
-25.3,130.9,australia,2024,9,10,
-33.8,140.2,australia,2023,2,2,
-32.3,116.5,australia,2025,4,4,
-18.0,122.2,australia,2023,5,6,
-38.7,143.8,australia,2025,2,2,
-36.9,143.3,australia,2025,1,1,
-35.3,142.1,australia,2023,43,18,8.21
-32.8,116.9,australia,2025,6,2,
-35.0,117.9,australia,2024,7,7,
-38.0,145.6,australia,2024,5,8,
-42.2,145.3,australia,2024,6,7,
-32.1,116.0,australia,2025,3,3,
-37.7,145.5,australia,2024,17,11,7.86
-29.1,167.9,australia,2023,7,4,
-29.2,137.4,australia,2024,1,2,
-32.1,116.5,australia,2023,3,9,
-38.0,144.4,australia,2024,1,2,
-13.9,131.8,australia,2023,14,15,11.154
-27.8,138.3,australia,2024,2,1,
-43.5,170.0,australia,2024,8,3,
-25.4,131.0,australia,2024,2,3,
-45.2,167.8,australia,2024,5,5,
-29.2,137.4,australia,2025,1,1,
-34.7,150.4,australia,2025,3,2,
-38.6,175.7,australia,2024,4,4,
-33.8,150.3,australia,2024,7,4,
-37.6,145.5,australia,2025,1,1,
-31.9,138.4,australia,2023,1,1,
-38.0,145.3,australia,2023,5,8,
-37.8,145.0,australia,2024,1,1,
-27.8,152.7,australia,2024,9,8,
-33.2,150.1,australia,2025,7,6,
-34.1,151.1,australia,2025,2,2,
-27.6,151.9,australia,2023,5,14,
-42.7,148.0,australia,2023,2,1,
-32.0,115.6,australia,2024,1,1,
-34.1,139.6,australia,2023,3,7,
-17.3,145.6,australia,2024,9,12,
-16.7,145.3,australia,2025,5,2,
-33.8,151.1,australia,2024,3,8,
-31.2,152.3,australia,2023,1,1,
-33.6,151.2,australia,2024,2,3,
-17.4,145.7,australia,2024,16,9,6.839
-36.5,150.0,australia,2024,8,6,
-26.9,152.8,australia,2023,1,1,
-17.4,145.7,australia,2023,2,2,
-17.7,145.7,australia,2024,1,1,
-38.0,145.6,australia,2025,3,8,
-36.2,146.6,australia,2024,2,4,
-35.2,139.2,australia,2024,1,1,
-37.9,145.3,australia,2025,3,2,
-12.5,131.0,australia,2023,6,8,
-14.4,132.4,australia,2023,2,4,
-33.8,143.0,australia,2024,1,1,
-23.0,113.8,australia,2024,2,2,
-35.3,149.0,australia,2023,1,1,
-27.5,152.9,australia,2024,2,3,
7.3,134.4,australia,2025,2,2,
-36.3,145.3,australia,2023,1,1,
-12.6,177.1,australia,2024,1,1,
-39.5,175.5,australia,2024,13,11,10.147
-40.8,175.6,australia,2024,7,7,
-34.1,139.3,australia,2024,1,1,
-35.7,150.2,australia,2025,2,2,
-10.0,-138.9,australia,2023,1,1,
-37.9,145.3,australia,2024,6,11,
-43.1,147.3,australia,2025,2,2,
-41.3,148.3,australia,2023,2,2,
-18.0,146.0,australia,2023,4,5,
-30.1,138.2,australia,2023,6,4,
-36.5,141.7,australia,2025,2,2,
-34.5,141.4,australia,2023,15,6,5.359
-14.8,143.5,australia,2023,2,2,
-33.7,150.5,australia,2023,2,5,
-15.8,128.6,australia,2023,6,10,
-33.0,150.6,australia,2025,2,2,
-35.2,139.1,australia,2023,2,4,
-28.0,145.5,australia,2023,2,2,
-36.0,136.7,australia,2023,1,2,
-34.8,138.8,australia,2024,1,5,
-33.8,150.3,australia,2023,2,2,
-37.8,148.6,australia,2025,1,1,
-34.8,150.6,australia,2023,1,1,
-12.9,132.8,australia,2023,2,3,
-36.0,137.1,australia,2023,1,1,
-36.1,137.1,australia,2024,3,1,
-13.1,131.0,australia,2023,3,5,
-28.5,151.2,australia,2023,4,2,
-41.8,147.1,australia,2023,3,3,
-27.4,152.7,australia,2023,15,19,15.117
-35.6,142.8,australia,2023,3,1,
-38.1,144.5,australia,2023,3,8,
-37.2,175.3,australia,2024,7,4,
-16.6,145.1,australia,2024,1,2,
-33.9,151.2,australia,2024,1,1,
-30.6,151.6,australia,2023,1,1,
-28.3,153.1,australia,2023,18,20,14.671
-33.3,139.0,australia,2023,2,2,
-37.9,144.9,australia,2025,1,1,
-36.7,145.1,australia,2024,1,1,
-37.8,144.5,australia,2023,2,3,
-37.5,144.3,australia,2025,2,5,
-50.5,166.2,australia,2024,3,1,
-12.5,130.8,australia,2024,5,9,
-43.2,147.2,australia,2023,5,6,
-42.9,147.2,australia,2023,7,7,
-42.9,147.2,australia,2024,2,3,
-41.7,145.9,australia,2024,2,3,
-43.5,146.8,australia,2023,1,2,
-41.6,145.9,australia,2023,1,1,
-16.5,123.0,australia,2023,1,2,
-28.0,153.4,australia,2024,1,6,
-37.7,145.0,australia,2023,3,6,
-27.6,153.0,australia,2025,3,3,
-12.8,143.3,australia,2024,2,2,
-16.5,123.0,australia,2024,2,1,
-37.9,144.2,australia,2023,8,6,
-27.3,152.8,australia,2023,10,25,25.0
-14.5,132.5,australia,2024,2,3,
-37.9,144.8,australia,2023,1,2,
-41.7,171.8,australia,2025,2,2,
-36.7,144.3,australia,2024,1,6,
-21.3,-159.8,australia,2025,2,3,
-12.9,131.6,australia,2023,1,1,
-35.0,138.6,australia,2024,3,9,
-43.4,147.2,australia,2025,1,4,
-32.0,116.0,australia,2024,2,2,
-38.4,142.3,australia,2023,2,3,
-35.1,138.5,australia,2023,1,6,
-14.5,132.2,australia,2023,2,2,
-36.5,144.8,australia,2023,1,3,
-34.4,148.3,australia,2024,1,1,
-41.4,173.3,australia,2024,4,3,
-33.7,140.1,australia,2024,5,6,
-35.7,138.2,australia,2023,1,1,
-38.0,176.9,australia,2023,2,1,
-34.8,138.9,australia,2023,1,7,
-27.5,151.9,australia,2024,1,6,
-37.6,175.9,australia,2025,1,1,
-36.4,174.8,australia,2023,4,3,
-37.0,174.7,australia,2024,4,4,
-36.9,175.8,australia,2023,2,1,
-35.7,140.4,australia,2024,1,1,
-38.0,176.9,australia,2025,4,2,
-36.9,174.7,australia,2023,1,2,
-37.5,144.2,australia,2025,2,2,
-38.3,144.5,australia,2024,1,3,
-38.2,176.3,australia,2023,2,5,
-41.7,171.8,australia,2024,1,1,
-22.4,141.5,australia,2024,7,1,
-34.9,139.1,australia,2024,6,7,
-29.7,115.4,australia,2025,1,1,
-15.8,128.5,australia,2024,2,1,
-15.0,143.5,australia,2023,1,1,
-29.5,140.4,australia,2024,1,2,
-34.7,142.2,australia,2023,1,1,
-33.7,149.0,australia,2025,5,3,
-38.0,176.2,australia,2025,1,1,
-12.5,132.9,australia,2024,4,5,
-44.0,-176.5,australia,2023,9,1,
-14.9,143.5,australia,2023,1,1,
-38.3,146.4,australia,2025,1,1,
-37.7,145.0,australia,2024,2,5,
-32.7,115.6,australia,2023,1,1,
-37.5,143.9,australia,2024,1,2,
-38.0,177.0,australia,2023,3,4,
-32.9,116.8,australia,2023,1,1,
-26.7,152.8,australia,2023,1,8,
-16.4,128.7,australia,2024,1,1,
-33.3,139.0,australia,2024,1,2,
-16.9,-180.0,australia,2024,4,4,
-13.3,131.1,australia,2023,1,2,
-36.2,144.7,australia,2024,1,2,
-43.2,147.3,australia,2024,1,1,
-35.1,138.8,australia,2025,1,1,
-28.0,153.1,australia,2023,3,4,
-36.6,174.8,australia,2024,3,2,
-19.1,146.2,australia,2023,8,2,
-17.1,145.5,australia,2023,3,3,
-39.2,175.5,australia,2024,5,4,
-35.7,174.4,australia,2024,2,2,
-35.4,149.2,australia,2023,1,2,
-33.6,151.2,australia,2025,3,2,
-14.3,131.8,australia,2023,1,1,
-37.6,142.1,australia,2025,2,2,
-36.8,149.9,australia,2024,1,1,
-27.7,153.2,australia,2023,1,1,
-37.8,145.1,australia,2023,1,2,
-38.0,177.1,australia,2024,1,1,
-37.6,145.4,australia,2024,1,1,
-44.7,170.3,australia,2023,1,1,
-38.1,144.4,australia,2023,5,4,
-28.0,153.3,australia,2024,1,1,
-41.7,171.8,australia,2023,3,2,
-41.7,171.7,australia,2025,1,1,
-36.5,143.7,australia,2025,2,1,
-34.5,119.4,australia,2024,3,1,
-34.1,151.6,australia,2024,1,1,
-7.6,158.7,australia,2024,3,3,
-17.4,145.4,australia,2024,1,1,
-38.4,145.3,australia,2024,7,3,
-33.9,148.5,australia,2025,6,2,
-33.8,140.1,australia,2024,1,1,
-43.6,172.6,australia,2024,1,1,
-35.4,148.9,australia,2024,1,1,
-36.5,144.3,australia,2024,3,3,
-24.4,133.4,australia,2025,1,1,
-13.9,-171.9,australia,2024,4,1,
-27.5,153.0,australia,2023,7,5,
-29.5,142.2,australia,2025,1,2,
-37.4,144.2,australia,2024,1,1,
-37.0,144.7,australia,2025,1,1,
-26.7,143.9,australia,2025,1,3,
-36.1,146.0,australia,2024,1,1,
-30.3,138.4,australia,2023,2,2,
-34.9,142.3,australia,2025,3,2,
-14.5,132.5,australia,2023,1,1,
-18.1,178.4,australia,2023,1,5,
-34.9,118.4,australia,2025,1,1,
-33.8,151.0,australia,2023,1,1,
-18.7,146.1,australia,2023,1,2,
-35.4,150.1,australia,2025,1,1,
-16.6,179.8,australia,2024,1,1,
7.1,134.3,australia,2025,1,1,
-22.9,126.5,australia,2024,4,3,
-33.1,151.6,australia,2024,2,2,
-44.9,168.0,australia,2024,1,1,
-16.9,145.6,australia,2023,1,1,
-33.7,150.3,australia,2024,2,4,
-31.9,115.7,australia,2024,1,6,
-33.9,151.1,australia,2025,1,1,
-12.7,132.5,australia,2023,2,5,
-13.6,132.3,australia,2023,3,3,
-31.0,115.3,australia,2024,2,1,
-33.2,151.6,australia,2023,4,8,
-12.5,132.9,australia,2025,1,1,
-38.4,145.2,australia,2023,2,1,
-33.5,151.3,australia,2023,2,3,
-14.1,131.9,australia,2023,1,2,
-38.9,174.5,australia,2023,3,2,
-34.9,138.6,australia,2025,1,1,
-42.2,145.2,australia,2024,2,2,
-28.5,153.1,australia,2023,1,4,
-35.3,142.1,australia,2025,3,3,
-17.6,-149.5,australia,2024,2,1,
-35.2,149.0,australia,2024,1,2,
-34.0,115.0,australia,2024,1,1,
-26.8,143.2,australia,2023,2,1,
-35.1,138.6,australia,2023,1,2,
-37.6,142.0,australia,2024,1,3,
-28.0,152.7,australia,2024,1,1,
-19.4,146.4,australia,2024,1,1,
-43.0,147.3,australia,2023,1,2,
-28.1,138.6,australia,2024,1,1,
-32.1,116.0,australia,2024,4,3,
-35.0,150.7,australia,2025,1,1,
-17.3,145.6,australia,2023,4,5,
-34.7,138.8,australia,2023,2,7,
-46.6,168.3,australia,2024,1,1,
-22.2,166.5,australia,2024,1,1,
-36.1,136.7,australia,2023,4,1,
-35.7,136.9,australia,2025,4,1,
-37.9,145.1,australia,2025,4,5,
-35.2,136.8,australia,2023,1,1,
-37.2,175.2,australia,2023,2,2,
-27.5,153.0,australia,2025,4,2,
-32.2,116.0,australia,2025,2,2,
-44.0,-175.9,australia,2023,2,2,
-33.9,151.0,australia,2024,1,1,
-35.7,137.3,australia,2023,1,1,
-26.9,152.8,australia,2024,1,2,
-34.4,148.6,australia,2025,1,1,
-34.3,149.0,australia,2025,4,1,
-34.8,149.2,australia,2025,3,1,
-38.1,145.3,australia,2025,1,1,
-33.7,149.1,australia,2025,5,1,
-34.7,149.0,australia,2025,6,1,
-37.3,143.8,australia,2024,1,1,
-34.2,149.0,australia,2025,2,1,
-37.6,141.7,australia,2025,3,1,
-33.8,148.8,australia,2025,5,2,
-37.4,141.5,australia,2025,5,4,
-34.8,149.1,australia,2025,7,2,
-41.1,148.2,australia,2023,1,1,
-33.8,149.1,australia,2025,4,2,
-34.4,149.3,australia,2025,4,2,
-37.1,144.2,australia,2024,2,1,
-37.8,144.6,australia,2024,1,1,
-33.6,149.2,australia,2025,3,2,
-34.5,148.2,australia,2025,2,2,
-35.2,149.2,australia,2023,1,5,
-37.0,144.2,australia,2024,1,1,
-37.7,141.8,australia,2024,1,1,
-34.6,148.3,australia,2025,2,2,
-34.9,149.1,australia,2025,2,1,
-37.6,141.9,australia,2025,2,3,
-36.4,146.3,australia,2025,1,1,
-33.7,148.9,australia,2025,3,1,
-34.5,148.4,australia,2025,2,2,
-37.8,142.0,australia,2025,4,6,
-37.5,141.6,australia,2025,1,3,
-34.2,149.2,australia,2025,1,1,
-34.8,148.4,australia,2025,2,1,
-34.5,148.3,australia,2025,2,2,
-34.7,148.2,australia,2025,3,2,
-38.0,142.7,australia,2025,1,2,
-34.5,148.4,australia,2024,1,1,
-36.5,145.2,australia,2024,1,1,
-33.8,149.2,australia,2025,2,2,
-35.2,149.5,australia,2025,1,1,
-33.8,148.7,australia,2025,1,1,
-34.1,148.6,australia,2025,1,1,
-34.0,148.4,australia,2025,6,2,
-34.5,149.5,australia,2025,1,1,
-34.3,115.0,australia,2024,2,1,
-35.0,147.6,australia,2025,1,2,
-34.3,149.4,australia,2025,1,1,
-37.9,145.0,australia,2023,3,3,
-37.8,145.0,australia,2025,1,1,
-26.8,152.8,australia,2025,1,1,
-32.0,115.8,australia,2024,7,8,
-33.7,115.0,australia,2023,3,3,
-38.2,144.3,australia,2025,1,1,
-44.1,-176.6,australia,2023,1,1,
-35.0,138.7,australia,2023,1,5,
-34.8,149.4,australia,2025,2,2,
-16.6,145.3,australia,2023,2,2,
-43.1,147.9,australia,2023,1,1,
-27.4,152.7,australia,2025,1,3,
-35.4,148.8,australia,2023,2,5,
-13.6,132.4,australia,2023,1,2,
-36.8,141.8,australia,2024,1,1,
-41.0,173.0,australia,2025,1,1,
-15.8,130.5,australia,2023,2,3,
-33.1,151.6,australia,2023,1,1,
-16.1,144.7,australia,2023,4,6,
-37.1,144.1,australia,2023,1,1,
-27.1,152.6,australia,2023,4,1,
-36.4,148.5,australia,2024,1,1,
-32.2,116.1,australia,2025,1,1,
-41.7,148.3,australia,2023,2,1,
-23.9,119.7,australia,2024,2,3,
-31.2,152.3,australia,2024,1,1,
-12.8,143.2,australia,2025,1,3,
-43.0,147.9,australia,2024,2,2,
-17.5,145.9,australia,2024,1,1,
-33.0,117.1,australia,2024,1,1,
-37.4,144.2,australia,2023,1,2,
-20.1,163.8,australia,2024,1,1,
-38.8,143.6,australia,2025,1,4,
-28.2,153.1,australia,2023,1,2,
-31.9,141.2,australia,2025,1,1,
-16.9,145.6,australia,2024,1,1,
-17.0,145.9,australia,2024,1,1,
-34.9,150.7,australia,2024,1,2,
-12.7,131.2,australia,2023,1,1,
-15.8,128.7,australia,2023,2,1,
-16.4,131.4,australia,2023,1,1,
-38.4,141.6,australia,2025,1,1,
-35.7,149.5,australia,2023,1,2,
-33.9,150.9,australia,2025,3,2,
-33.8,150.2,australia,2023,1,1,
-33.6,150.6,australia,2024,1,1,
-36.1,149.8,australia,2025,2,2,
-36.2,146.9,australia,2025,1,1,
-27.5,153.1,australia,2024,2,2,
-38.0,144.4,australia,2023,1,1,
-34.5,150.4,australia,2023,1,1,
-34.6,148.4,australia,2025,1,1,
-41.5,145.9,australia,2023,3,2,
-8.1,156.5,australia,2023,1,1,
-35.1,138.7,australia,2023,1,6,
-34.8,141.0,australia,2023,1,4,
-35.6,150.2,australia,2023,1,1,
-31.1,152.8,australia,2023,1,1,
-36.9,174.4,australia,2023,1,2,
-12.9,132.5,australia,2023,1,3,
-34.6,150.8,australia,2024,1,8,
-42.9,171.5,australia,2023,1,1,
-16.6,145.2,australia,2023,1,2,
-26.0,153.1,australia,2023,1,1,
-24.7,116.1,australia,2024,1,2,
-12.7,131.3,australia,2023,1,1,
-29.1,137.0,australia,2025,2,1,
-25.3,131.4,australia,2023,1,1,
-30.2,137.9,australia,2024,1,1,
-32.5,118.8,australia,2024,2,2,
-28.0,145.6,australia,2023,1,1,
-28.3,145.7,australia,2023,1,2,
-38.7,178.0,australia,2025,1,1,
-23.1,142.4,australia,2024,3,1,
-36.3,146.6,australia,2025,3,1,
-41.3,148.1,australia,2023,1,1,
-42.5,173.6,australia,2024,1,1,
-34.8,143.6,australia,2023,1,2,
-40.9,175.5,australia,2024,2,5,
-26.8,139.2,australia,2024,3,1,
-26.1,113.5,australia,2025,1,1,
-33.1,151.5,australia,2024,1,1,
-37.7,145.2,australia,2025,1,1,
-34.1,151.0,australia,2025,5,6,
-31.5,152.4,australia,2024,1,1,
-28.7,153.2,australia,2024,1,1,
-26.0,113.1,australia,2025,1,1,
-23.5,150.4,australia,2024,1,1,
-35.0,117.9,australia,2023,1,1,
-28.3,153.2,australia,2023,1,1,
-34.2,151.1,australia,2025,4,5,
-33.9,151.2,australia,2025,1,2,
-35.7,138.1,australia,2024,1,2,
-33.7,151.1,australia,2025,1,1,
-16.0,-162.4,australia,2025,1,1,
-28.2,153.1,australia,2025,1,1,
-43.2,146.7,australia,2024,1,1,
-22.6,144.0,australia,2025,1,1,
-15.5,129.7,australia,2024,1,1,
-35.1,150.6,australia,2024,1,1,
-27.4,153.0,australia,2024,1,1,
-33.7,150.5,australia,2025,2,1,
-30.6,151.7,australia,2024,1,1,
-17.9,146.1,australia,2023,1,1,
-38.0,145.1,australia,2024,1,1,
-32.1,151.8,australia,2024,1,2,
-17.4,123.6,australia,2024,1,1,
-16.3,145.3,australia,2025,1,1,
-33.9,150.4,australia,2023,1,1,
-27.8,152.8,australia,2025,2,1,
-17.1,145.7,australia,2024,1,3,
-28.3,153.1,australia,2024,1,1,
-16.5,125.0,australia,2024,1,1,
-17.5,-149.9,australia,2024,1,2,
-16.1,145.4,australia,2025,2,2,
-37.7,145.1,australia,2025,1,2,
-34.5,138.3,australia,2023,1,1,
-28.2,153.3,australia,2023,1,1,
-38.9,175.7,australia,2024,2,2,
-34.9,150.5,australia,2024,1,2,
-12.5,132.8,australia,2024,1,2,
-25.2,130.9,australia,2024,3,1,
-45.9,170.5,australia,2024,1,1,
-29.3,118.0,australia,2025,2,1,
-33.7,151.3,australia,2024,1,1,
-33.9,148.4,australia,2025,2,1,
-27.6,152.7,australia,2025,1,1,
-36.7,144.2,australia,2023,1,1,
-34.5,147.0,australia,2025,1,1,
-36.0,136.6,australia,2024,1,2,
-12.9,132.7,australia,2023,1,1,
-34.8,150.6,australia,2024,1,1,
-35.6,148.8,australia,2023,1,1,
-37.8,144.4,australia,2024,1,1,
-28.9,153.4,australia,2025,1,1,
-28.9,153.4,australia,2024,1,1,
45.0,5.5,europe,2024,2,2,
42.4,1.9,europe,2023,46,19,8.593
37.9,-8.1,europe,2024,4,4,
53.2,48.3,europe,2023,9,3,
56.1,47.3,europe,2025,43,26,14.649
56.0,47.2,europe,2025,78,23,8.663
37.9,-5.0,europe,2025,48,12,6.238
43.3,43.6,europe,2024,81,27,9.832
42.7,0.5,europe,2024,94,24,8.502
50.8,-1.3,europe,2024,3,5,
47.5,44.5,europe,2024,2,1,
38.6,-8.2,europe,2023,1,1,
40.0,20.7,europe,2025,63,15,7.266
42.6,-4.0,europe,2025,4,4,
54.7,50.6,europe,2025,33,21,12.399
48.0,44.6,europe,2024,2,2,
48.0,7.3,europe,2023,16,3,2.5
43.9,0.1,europe,2025,5,6,
37.9,-4.6,europe,2025,72,18,8.551
43.6,1.5,europe,2025,452,74,23.013
37.8,-4.8,europe,2024,7,3,
37.8,-4.7,europe,2025,32,7,5.239
41.5,41.5,europe,2024,20,12,8.079
41.9,-3.3,europe,2024,16,7,5.75
45.2,-0.2,europe,2025,5,6,
39.9,20.6,europe,2025,23,6,3.996
37.0,-6.6,europe,2025,20,7,5.261
51.4,45.7,europe,2024,5,2,
35.9,14.4,europe,2024,11,5,4.818
56.0,47.2,europe,2024,115,33,9.421
42.1,-3.2,europe,2024,42,20,9.372
54.6,50.6,europe,2025,26,15,9.548
45.1,1.9,europe,2023,8,1,
43.5,6.6,europe,2023,18,2,1.556
42.1,-3.1,europe,2024,13,9,7.962
55.8,48.0,europe,2023,2,2,
43.5,3.6,europe,2023,8,4,
39.0,-7.9,europe,2025,21,16,8.805
42.1,0.9,europe,2025,25,29,21.353
37.8,-4.8,europe,2023,41,9,5.04
51.7,17.0,europe,2023,1,1,
52.7,0.4,europe,2023,90,81,27.558
40.2,-2.1,europe,2025,4,4,
54.9,47.9,europe,2024,23,15,9.521
55.9,47.5,europe,2023,11,5,4.818
48.9,8.9,europe,2023,72,25,10.183
43.8,5.9,europe,2024,9,3,
44.0,1.9,europe,2023,400,85,20.831
45.4,10.9,europe,2024,12,8,7.136
56.0,47.3,europe,2025,95,44,10.826
42.8,13.2,europe,2023,6,5,
44.1,0.1,europe,2025,9,6,
37.9,-5.1,europe,2025,22,8,6.051
43.1,43.1,europe,2024,39,12,6.839
55.2,47.6,europe,2025,53,18,8.379
48.8,8.9,europe,2023,160,36,7.059
51.1,16.4,europe,2024,1,1,
47.1,9.7,europe,2024,15,7,6.044
36.0,-5.6,europe,2023,5,3,
48.0,46.8,europe,2023,7,3,
45.9,10.8,europe,2025,2,1,
40.7,13.8,europe,2025,6,10,
47.9,7.8,europe,2024,3,3,
59.4,17.3,europe,2025,14,16,12.933
55.7,48.6,europe,2025,15,5,4.216
40.0,20.8,europe,2025,5,5,
42.7,13.6,europe,2025,53,36,10.973
49.7,5.3,europe,2024,5,5,
55.8,47.4,europe,2023,14,9,7.374
43.4,3.4,europe,2024,1,1,
39.8,-6.1,europe,2023,34,13,6.214
36.2,-5.8,europe,2023,8,4,
36.0,-5.8,europe,2023,40,8,5.088
43.3,18.6,europe,2025,1,1,
55.3,46.2,europe,2024,8,5,
53.1,9.7,europe,2025,127,69,14.353
49.2,1.2,europe,2025,11,9,8.455
45.3,1.6,europe,2023,19,7,5.211
37.1,-3.5,europe,2025,11,5,4.909
39.7,8.9,europe,2024,6,5,
42.8,13.5,europe,2023,17,11,7.64
40.3,-2.1,europe,2025,32,12,8.008
39.9,20.5,europe,2025,20,8,5.51
46.1,44.4,europe,2024,41,20,10.832
46.1,3.6,europe,2023,20,17,10.605
55.9,47.3,europe,2023,18,8,6.418
46.2,6.7,europe,2024,4,6,
41.4,-0.3,europe,2025,6,4,
41.1,-5.8,europe,2025,15,20,16.618
38.0,-2.5,europe,2025,5,3,
42.9,13.9,europe,2025,17,13,8.301
45.5,10.9,europe,2024,6,5,
48.4,10.2,europe,2023,2,2,
36.1,-5.8,europe,2023,16,5,4.206
50.3,8.6,europe,2023,8,8,
44.8,6.6,europe,2025,12,13,11.485
42.0,13.0,europe,2023,2,1,
45.5,10.8,europe,2024,7,3,
55.0,46.3,europe,2023,20,18,11.562
45.8,48.1,europe,2023,12,8,7.47
42.7,13.6,europe,2024,21,15,8.59
45.0,-1.2,europe,2023,16,26,19.516
42.0,0.7,europe,2025,62,36,12.372
37.0,-8.0,europe,2024,19,13,7.839
42.1,-3.3,europe,2024,41,9,6.997
45.9,12.6,europe,2024,2,3,
56.0,46.8,europe,2023,9,5,
54.9,47.3,europe,2025,2,1,
55.9,47.3,europe,2025,18,2,2.0
40.0,20.6,europe,2025,5,5,
44.2,16.8,europe,2025,4,5,
56.2,47.1,europe,2023,44,26,10.871
37.9,-4.8,europe,2025,3,2,
56.1,47.3,europe,2023,27,23,12.824
42.9,-4.4,europe,2024,1,2,
45.9,48.1,europe,2023,5,4,
40.6,-4.7,europe,2023,1,1,
42.5,3.1,europe,2023,9,4,
46.1,45.3,europe,2023,22,14,9.562
45.4,11.2,europe,2024,34,5,3.091
37.1,-3.1,europe,2025,3,3,
43.6,3.4,europe,2024,1,2,
44.0,7.6,europe,2023,18,8,6.048
42.6,0.5,europe,2024,7,6,
50.3,8.8,europe,2023,7,11,
36.0,-5.7,europe,2023,7,5,
54.6,50.7,europe,2025,7,9,
41.9,0.6,europe,2025,14,7,6.077
44.7,6.9,europe,2023,1,1,
52.6,13.3,europe,2025,4,5,
47.0,14.9,europe,2024,1,1,
42.9,9.4,europe,2023,365,73,8.77
49.0,44.8,europe,2024,4,2,
38.8,-6.9,europe,2025,26,10,7.242
42.3,2.2,europe,2024,8,7,
42.0,9.4,europe,2024,3,2,
47.1,14.7,europe,2023,3,3,
42.3,13.3,europe,2025,1,1,
43.9,3.4,europe,2023,4,2,
37.8,-4.7,europe,2023,4,3,
43.5,3.6,europe,2024,1,2,
47.6,5.0,europe,2024,5,7,
38.8,-6.9,europe,2024,3,2,
49.3,9.6,europe,2024,2,1,
42.7,2.4,europe,2023,19,18,12.3
43.0,2.9,europe,2025,3,3,
42.7,13.5,europe,2025,35,21,9.142
42.9,13.5,europe,2023,3,3,
42.1,-3.4,europe,2024,11,7,6.636
50.9,11.5,europe,2024,16,13,10.321
42.5,-8.8,europe,2025,2,1,
49.4,8.9,europe,2023,7,6,
39.6,-2.7,europe,2023,3,2,
50.4,45.4,europe,2023,1,1,
51.7,5.4,europe,2023,1,2,
50.8,2.4,europe,2024,4,2,
42.6,9.4,europe,2024,37,14,7.1
39.0,-7.9,europe,2024,35,19,8.472
48.9,44.6,europe,2024,4,1,
42.6,-4.1,europe,2025,5,3,
37.8,-8.1,europe,2024,8,6,
46.7,5.4,europe,2023,10,11,11.0
43.5,4.8,europe,2025,15,12,9.502
37.8,-4.8,europe,2025,23,9,6.201
46.4,4.9,europe,2023,5,6,
48.0,-4.1,europe,2023,3,2,
55.8,47.4,europe,2025,14,5,4.846
40.7,0.6,europe,2023,5,3,
43.7,-7.7,europe,2025,2,2,
50.8,-1.6,europe,2024,1,3,
51.0,3.7,europe,2025,51,33,9.17
41.4,-0.2,europe,2025,6,4,
45.6,11.0,europe,2024,32,9,4.756
42.0,0.6,europe,2025,5,3,
42.7,0.6,europe,2023,42,24,11.045
56.1,47.3,europe,2024,12,10,8.803
44.8,6.8,europe,2023,5,4,
42.4,-9.0,europe,2025,2,3,
44.0,3.1,europe,2023,3,2,
42.8,13.7,europe,2023,4,4,
44.1,7.4,europe,2023,10,5,5.0
43.0,-0.2,europe,2025,75,36,21.254
35.2,33.7,europe,2025,5,3,
49.0,1.6,europe,2023,5,3,
53.1,48.2,europe,2024,2,5,
44.8,11.2,europe,2024,3,3,
42.2,1.5,europe,2025,1,2,
55.8,46.9,europe,2025,68,44,11.48
51.5,-3.1,europe,2023,48,29,16.284
51.6,5.5,europe,2023,3,2,
42.8,13.5,europe,2024,17,10,7.423
56.0,47.3,europe,2023,20,16,10.534
55.7,47.0,europe,2024,2,3,
56.0,47.2,europe,2023,78,33,10.817
37.9,-4.9,europe,2025,37,10,6.141
43.3,5.7,europe,2025,1,1,
40.0,20.4,europe,2025,8,4,
42.3,2.0,europe,2023,18,6,4.961
52.7,0.5,europe,2023,9,26,
45.3,3.9,europe,2023,5,11,
42.7,13.7,europe,2023,5,3,
45.4,11.0,europe,2024,36,13,6.886
37.3,-3.0,europe,2025,5,5,
47.5,7.5,europe,2023,12,16,14.409
42.5,-8.9,europe,2024,10,13,13.0
42.9,2.2,europe,2023,24,37,25.702
42.0,-3.1,europe,2024,17,9,6.669
51.5,-3.0,europe,2023,15,23,19.501
40.0,-2.7,europe,2023,4,1,
