lat_cell,lon_cell,continent,n_rec,S_obs,S_rare10,Acoustic_Complexity_Index__mean,Acoustic_Diversity_Index__main_value,Acoustic_Evenness_Index__main_value,Bio_acoustic_Index__main_value,Normalized_Difference_Sound_Index__main_value,Spectral_Entropy__main_value,Temporal_Entropy__main_value,NB_peaks__main_value,Acoustic_Diversity_Index_NR__main_value,Bio_acoustic_Index_NR__main_value,Spectral_Entropy_NR__main_value
30.9,-6.9,africa,3,3,,157.965497610465,1.4372069420724112,0.5455243676264027,12.85294274808429,0.31878665320675476,0.8336592434152289,0.9394508383872061,2.0,1.533293073286738,16.67764950949989,0.7580723443878844
6.2,-0.6,africa,59,40,9.433,153.95902723348084,1.912164023197169,0.25025754350004453,7.7316438421977525,0.35889464851466,0.8556738214912305,0.9768966487429531,6.084745762711864,1.8925891249821412,9.072655569842656,0.8110289499524029
9.0,7.4,africa,10,9,9.0,158.01266958042982,1.7558082396729044,0.4082909255432174,7.509067892838182,0.29707848202093373,0.7828735683820256,0.97258944785464,2.9,1.7285118273964806,7.795714064734481,0.770695574944029
-21.3,47.4,africa,16,8,6.125,176.36619106660103,1.8946505831050167,0.23149340952644068,9.727209767963913,0.4853995668721057,0.7953862503735142,0.9726409785127492,4.1875,1.8503136847352735,10.78957577105185,0.7821170045927935
-14.3,33.4,africa,23,18,8.971,171.25877017902943,1.794885737544771,0.31367323401079533,7.894458728951302,0.8181509319269157,0.7982903227517875,0.9446646716138952,2.608695652173913,1.7923372809394669,8.907199266111336,0.7480833493588716
-21.5,32.0,africa,25,22,10.05,161.22415019954548,1.8658987814381698,0.26871990307545257,7.748872997787961,0.504423119081537,0.8347760062762619,0.9413038603377869,3.28,1.9060506858260249,8.7438013475665,0.7873475049425532
-18.9,32.5,africa,3,2,,160.8308870979263,1.4465845691232724,0.5476060576547362,11.257097556322583,0.9891649121894409,0.8134069264554395,0.9221540804416702,3.3333333333333335,1.4930033080340388,14.264917964388962,0.7138401181172211
-22.3,28.9,africa,267,82,10.077,167.16796041313705,1.6573823032618582,0.4207103701772734,11.78594127509772,0.39289504566392064,0.7481829825013245,0.936715157458408,3.958801498127341,1.6915222762684232,12.835971908435475,0.7122046438038603
29.7,-6.1,africa,2,3,,169.07143278020746,1.6484136290130929,0.376087076882314,13.790710055052246,0.932699376328165,0.7489830568234173,0.9234767772211215,4.5,1.6394800613597522,16.145089840320015,0.7043866099636742
-3.3,39.9,africa,104,34,9.694,157.75638762967085,1.9771756108607916,0.17973694794339978,15.756953330816296,0.7002312181307145,0.8538747388981781,0.9739471328128352,5.5673076923076925,1.9366567344110097,18.48336052581012,0.8186242698687299
-24.5,27.8,africa,2,2,,156.89433676562885,1.6847907642871878,0.42805292069619505,14.854339014094375,0.654883160742834,0.9255031732557755,0.9394427810556485,3.0,1.649679018161558,17.392642588908394,0.8548895344129734
