lat_cell,lon_cell,continent,n_rec,S_obs,S_rare10,Acoustic_Complexity_Index__mean,Acoustic_Diversity_Index__main_value,Acoustic_Evenness_Index__main_value,Bio_acoustic_Index__main_value,Normalized_Difference_Sound_Index__main_value,Spectral_Entropy__main_value,Temporal_Entropy__main_value,NB_peaks__main_value,Acoustic_Diversity_Index_NR__main_value,Bio_acoustic_Index_NR__main_value,Spectral_Entropy_NR__main_value,lat_band,biodiversity_label_regional
-24.0,28.3,africa,64,27,8.076,161.05944131620527,1.5268269926904845,0.4957790340876813,12.67146074916755,0.21084136851703314,0.7446003405437657,0.9399249299380025,3.328125,1.5517768544840105,14.292941688234313,0.7043676263435561,-30,bad
-24.6,30.8,africa,7,15,,166.94737980358175,1.9443792687390558,0.24472285979604907,11.28214642177882,0.8418976882943126,0.8192847978301948,0.9623595018290356,4.857142857142857,1.924013555785925,12.522079628690818,0.796738458347502,-30,insufficient_data
-15.6,46.8,africa,6,6,,157.11692794374633,2.0492373885323842,0.09971334618202954,5.320244281447841,0.5732758404843542,0.8800843660223393,0.9640598595592933,6.666666666666667,1.9901678729967252,6.686014519547726,0.8431374750492849,-20,insufficient_data
10.8,19.7,africa,50,38,11.489,159.2777675206635,1.8917078775141194,0.2724645443418962,10.9260952479755,0.3315725507552796,0.880241993946747,0.9550304719091293,3.78,1.9016998100895153,13.641355129733721,0.8157591294501167,10,moderate
9.5,-13.8,africa,1,1,,178.5165840235114,1.9712462750211701,0.22612813963388678,10.403713541972374,-0.44199339043991864,0.7622138414115635,0.9852493002210934,4.0,1.965389306164877,11.056238745964428,0.7788218886498197,0,insufficient_data
23.2,-16.1,africa,1,1,,152.2323895369632,2.0308942751424386,0.17559969224932015,1.6537902362773504,-0.8845181138284373,0.8978017815182217,0.956034377074386,3.0,2.0590390168419144,2.8752090959497116,0.8203081823924183,20,insufficient_data
-1.0,36.6,africa,51,27,10.518,163.21201517203278,1.7758073960897256,0.36002573470707483,10.925425953317314,0.8023003084575083,0.8271121080896325,0.9458644355700068,3.2941176470588234,1.7828921302187934,12.057911520895464,0.7831786805461987,-10,moderate
-24.7,31.5,africa,278,81,9.981,165.1709995832126,1.8002005016961342,0.3279611874568787,12.083882377085494,0.6144429939110078,0.788463806854695,0.9340968946053056,4.438848920863309,1.802442857877888,13.482124301210364,0.7526909601856361,-30,moderate
0.7,34.3,africa,3,3,,172.27951827179106,1.5638250683689972,0.5230434847231924,15.139978187603154,0.9896830298616593,0.6725294339454418,0.9366006312787212,2.0,1.594646107212662,15.623179352876605,0.6165880947011938,0,insufficient_data
-12.5,15.1,africa,24,13,7.663,166.6308990264445,1.9795222061788105,0.18022827312127412,9.544293059959989,0.36427974451357,0.8423797836984549,0.9649364495244056,2.9166666666666665,1.9172173534880943,11.758962501987066,0.8070007950491652,-20,bad
0.8,17.0,africa,6,7,,156.93241723640935,1.994307239125141,0.18381371135837918,10.26936412995553,0.6786219408137706,0.8477307905994959,0.9774141116555919,3.6666666666666665,1.9432782709259404,11.778224600989214,0.8195718780474607,0,insufficient_data
-16.6,35.0,africa,48,43,16.042,179.37864217587637,1.90879398757083,0.2672078142318442,12.774375768778867,0.8954807682578526,0.8127528975252974,0.9361412044863777,5.645833333333333,1.9124207575832053,13.876689724425445,0.7897538193663866,-20,good
0.8,30.0,africa,307,90,10.231,164.66482657153236,1.7871245961044884,0.3109454135203126,9.631288910148898,0.5326412169152278,0.821528625120174,0.9582084707897535,4.0814332247557,1.7560281017732646,10.836157263487557,0.778525230761763,0,moderate
-3.4,29.3,africa,47,30,14.633,166.93645284212766,1.783772490915405,0.37606505075028185,13.61429991318059,0.7025654182593294,0.8026759610379427,0.9294219209186966,4.425531914893617,1.8164080594293108,15.143141761900853,0.7800589571861045,-10,good
-0.4,37.3,africa,292,79,10.729,165.93183614474262,1.8066278889474563,0.3261536920998666,10.88113780920299,0.7023405363919764,0.7934688039398743,0.9494402235211845,3.9280821917808217,1.8125562415261014,12.249011655988772,0.7622376395437165,-10,moderate
-23.0,29.6,africa,203,52,9.12,162.97210881011054,1.582307560623465,0.4574790313314715,13.015021452024541,0.4454209446790281,0.7498686084208159,0.932071170121344,3.1773399014778323,1.6002994033856814,14.648591229489028,0.707892100661181,-30,bad
-3.6,29.4,africa,13,12,9.65,165.93975532505522,1.6376466896196833,0.4502255922806175,18.679953882175678,0.840075890556021,0.7383903452585667,0.908409439287981,4.076923076923077,1.6806141640588512,20.490636262916972,0.7014554822300407,-10,moderate
23.8,-14.6,africa,1,1,,155.16170255434338,1.0936415135527915,0.6950741402065062,5.474776300472706,-0.973570377063101,0.6331630549556055,0.9516989102578731,1.0,1.169603520466396,6.5166871173102345,0.5488045324932493,20,insufficient_data
